dataset,algorithm,pair,accuracy_A,accuracy_B,macro_precision_A,macro_precision_B,macro_f1_A,macro_f1_B
breast_cancer,logreg,pair1,0.9824561403508771,0.9736842105263158,0.9811507936507937,0.9741062479117941,0.9811507936507937,0.9715828832571667
breast_cancer,logreg,pair2,0.9824561403508771,0.9912280701754386,0.9811507936507937,0.9931506849315068,0.9811507936507937,0.9905276277523889
breast_cancer,logreg,pair3,0.9824561403508771,0.9824561403508771,0.9811507936507937,0.9811507936507937,0.9811507936507937,0.9811507936507937
breast_cancer,svc,pair1,0.9824561403508771,0.9736842105263158,0.9811507936507937,0.9697019325253848,0.9811507936507937,0.97186343068696
breast_cancer,svc,pair2,0.9824561403508771,0.9824561403508771,0.9811507936507937,0.9811507936507937,0.9811507936507937,0.9811507936507937
breast_cancer,svc,pair3,0.9122807017543859,0.9824561403508771,0.9390243902439024,0.9811507936507937,0.8999648999648999,0.9811507936507937
breast_cancer,rf,pair1,0.9385964912280702,0.9473684210526315,0.9360173738723689,0.9434523809523809,0.933693394266722,0.9434523809523809
breast_cancer,rf,pair2,0.9473684210526315,0.9473684210526315,0.9434523809523809,0.9434523809523809,0.9434523809523809,0.9434523809523809
breast_cancer,rf,pair3,0.956140350877193,0.956140350877193,0.9550618108920814,0.9550618108920814,0.9526381387619443,0.9526381387619443
breast_cancer,gb,pair1,0.956140350877193,0.956140350877193,0.9605128205128205,0.9605128205128205,0.9521289997480473,0.9521289997480473
breast_cancer,gb,pair2,0.956140350877193,0.956140350877193,0.9605128205128205,0.9605128205128205,0.9521289997480473,0.9521289997480473
breast_cancer,gb,pair3,0.956140350877193,0.9385964912280702,0.9605128205128205,0.9323616115296429,0.9521289997480473,0.9343480049362403
breast_cancer,knn,pair1,0.956140350877193,0.9649122807017544,0.9550618108920814,0.9672297297297296,0.9526381387619443,0.9619111259605747
breast_cancer,knn,pair2,0.956140350877193,0.956140350877193,0.9550618108920814,0.9550618108920814,0.9526381387619443,0.9526381387619443
breast_cancer,knn,pair3,0.956140350877193,0.956140350877193,0.9550618108920814,0.9550618108920814,0.9526381387619443,0.9526381387619443
wine,logreg,pair1,0.9722222222222222,1.0,0.9777777777777779,1.0,0.9709618874773142,1.0
wine,logreg,pair2,1.0,0.9722222222222222,1.0,0.9777777777777779,1.0,0.9709618874773142
wine,logreg,pair3,0.9722222222222222,0.9722222222222222,0.9777777777777779,0.9777777777777779,0.9709618874773142,0.9709618874773142
wine,svc,pair1,0.9722222222222222,0.9444444444444444,0.9777777777777779,0.9505494505494506,0.9709618874773142,0.9453132832080202
wine,svc,pair2,0.9722222222222222,0.9722222222222222,0.9777777777777779,0.9777777777777779,0.9709618874773142,0.9709618874773142
wine,svc,pair3,0.9444444444444444,0.9722222222222222,0.9583333333333334,0.9777777777777779,0.9407407407407408,0.9709618874773142
wine,rf,pair1,1.0,1.0,1.0,1.0,1.0,1.0
wine,rf,pair2,1.0,1.0,1.0,1.0,1.0,1.0
wine,rf,pair3,1.0,1.0,1.0,1.0,1.0,1.0
wine,gb,pair1,0.9444444444444444,0.9444444444444444,0.9505494505494506,0.9505494505494506,0.9453132832080202,0.9453132832080202
wine,gb,pair2,0.9444444444444444,0.9444444444444444,0.9505494505494506,0.9505494505494506,0.9453132832080202,0.9453132832080202
wine,gb,pair3,0.9444444444444444,0.9722222222222222,0.9505494505494506,0.9743589743589745,0.9453132832080202,0.9743209876543211
wine,knn,pair1,0.9722222222222222,1.0,0.9696969696969697,1.0,0.9717813051146384,1.0
wine,knn,pair2,0.9722222222222222,0.9722222222222222,0.9696969696969697,0.9696969696969697,0.9717813051146384,0.9717813051146384
wine,knn,pair3,0.9722222222222222,0.9722222222222222,0.9696969696969697,0.9696969696969697,0.9717813051146384,0.9717813051146384
digits,logreg,pair1,0.9722222222222222,0.9666666666666667,0.9724227234753551,0.9673725981620718,0.972020301992133,0.9666446807050704
digits,logreg,pair2,0.9666666666666667,0.9722222222222222,0.9668254734508605,0.9727445148497781,0.966327856175712,0.971927378445779
digits,logreg,pair3,0.9722222222222222,0.9722222222222222,0.9724227234753551,0.9721260358102464,0.972020301992133,0.9719402197048348
digits,svc,pair1,0.975,0.975,0.9759601706970129,0.9753956258890468,0.974846782138116,0.9748031409041428
digits,svc,pair2,0.975,0.975,0.9759601706970129,0.9759601706970129,0.974846782138116,0.974846782138116
digits,svc,pair3,0.9722222222222222,0.975,0.9754719004719006,0.9759601706970129,0.9726929018053431,0.974846782138116
digits,rf,pair1,0.9222222222222223,0.9305555555555556,0.9220291069286765,0.9308139095797898,0.919717403433846,0.928864549288958
digits,rf,pair2,0.9277777777777778,0.8527777777777777,0.9281436010580881,0.8516317443146711,0.9260363397503492,0.8479812044973334
digits,rf,pair3,0.9638888888888889,0.975,0.9644070168644474,0.9756496467022784,0.9633911447922223,0.9746058440430934
digits,gb,pair1,0.9638888888888889,0.9527777777777777,0.9645530513332371,0.9537442084625504,0.9635915492957746,0.9524792978344724
digits,gb,pair2,0.9527777777777777,0.9638888888888889,0.9528494464678676,0.9645530513332371,0.9520666842851359,0.9635915492957746
digits,gb,pair3,0.9638888888888889,0.9555555555555556,0.9645530513332371,0.9564061310113943,0.9635915492957746,0.9548974783157946
digits,knn,pair1,0.9638888888888889,0.9611111111111111,0.9645896987673304,0.9621952514926649,0.9634399725952825,0.9606727685100299
digits,knn,pair2,0.9638888888888889,0.9666666666666667,0.9645896987673304,0.9672924014700331,0.9634399725952825,0.9661426752979851
