dataset,algorithm,pair,delta_mag_l1,delta_topk_frac,delta_entropy,rank_overlap_mean,rank_overlap_median,delta_js,dce,bac,codf_fix,codf_reg,delta_stability_sigma001,delta_stability_sigma005,baseline_sens_delta_mag_pct,baseline_sens_delta_topk_pct
breast_cancer,logreg,pair1,6.271407704417724,0.7143314351794402,2.935678701599935,0.7128690023426866,0.6666666666666666,0.025724500858257383,0.2029940352472293,0.8787655373332728,,0.4490540506597052,43.09208570510057,43.092085705739294,-2.497833721060498,2.762043251630227
breast_cancer,logreg,pair2,9.526868397438362,0.7533765215012285,2.812601733503636,0.5167705101915628,0.5384615384615384,0.17905416664138507,0.24725843953450202,0.5345154919301449,0.398882735344208,,47.17686088730517,47.17686088800478,-3.3002548678784582,-1.2357925693954832
breast_cancer,logreg,pair3,0.13863808505464933,0.728055810085186,2.894200461457728,0.9824561403508771,1.0,4.072044273972153e-05,0.005431103448165383,0.6907765756510293,,,1.0509407963768258,1.050940796392466,-2.509129508993429,2.2088717115213172
breast_cancer,svc,pair1,8.790286236245828,0.7058446056166305,2.9190388267464344,0.5180592541273655,0.5384615384615384,0.0647335950556653,0.7352680107866267,0.9353918973650095,,0.3080489447086638,80.73297303294957,74.48541987547065,-1.8377468965357622,2.55053126287819
breast_cancer,svc,pair2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
breast_cancer,svc,pair3,9.655528854331344,0.7070394305463917,2.9312666865377937,0.5415668352974854,0.5384615384615384,0.06252278182889548,6.613107685741975,0.9977184435211003,0.4580826162580116,0.32090666451241723,67.2278649473558,261.14116774655446,3.624702631509406,3.608491364398651
breast_cancer,rf,pair1,38.78606172066884,0.9510206512305792,1.479278376290892,0.6119363093047303,0.6666666666666666,0.11336291613563348,35.8093983819304,0.6885950907326002,0.8028563527279085,,1058.576844401384,167.8648232019852,-36.5260021503187,-29.065889547109634
breast_cancer,rf,pair2,78.54637818152746,0.9656140507647645,1.7386316398319521,0.795149295149295,0.8181818181818182,0.06189986205138395,62.33106216784905,0.9438968784405385,,,1445.3230475403002,300.85134577402846,-40.97115444013424,-28.106404779436666
breast_cancer,rf,pair3,54.143107213203706,0.8595005493562273,2.152926414930389,0.6681564049985103,0.6666666666666666,0.1288980888862391,40.449106725526256,0.9277993684383948,,,967.3059849380711,164.87529287231476,5.919229364691243,0.9270323951159174
breast_cancer,gb,pair1,4.40556666108272,0.9760525960944508,1.9794416138130053,0.677883519988783,0.6666666666666666,0.06157138860015093,1.0115001816764682,-0.3563454051753422,,,36.68795503415196,17.97580338097606,-18.8562265533562,-0.31761419628375126
